target,op,nfiles,us_per_op,ops_per_s
mfs,create,5000,3.352,298351
mfs,write,5000,14.078,71035
mfs,read,5000,1.541,648769
mfs,stat,5000,0.336,2973829
ext4,create,5000,27.796,35976
ext4,write,5000,4.067,245875
ext4,read,5000,1.824,548356
ext4,stat,5000,0.681,1468703
